ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050796	GO:0050796	7/97	94/10899	1.93533978101717e-05	0.0549249429852672	0.048424238520819	Nriv.00g031930/Nriv.00g043650/Nriv.00g046230/Nriv.00g061300/Nriv.00g097420/Nriv.00g142910/Nriv.00g170950	7
GO:0051223	GO:0051223	13/97	406/10899	5.94704485562049e-05	0.0747103216274627	0.0658678960381584	Nriv.00g003540/Nriv.00g031930/Nriv.00g043650/Nriv.00g044310/Nriv.00g046230/Nriv.00g061300/Nriv.00g076490/Nriv.00g080180/Nriv.00g081990/Nriv.00g097420/Nriv.00g140190/Nriv.00g142910/Nriv.00g170950	13
GO:0090276	GO:0090276	7/97	123/10899	0.000108909002526861	0.0747103216274627	0.0658678960381584	Nriv.00g031930/Nriv.00g043650/Nriv.00g046230/Nriv.00g061300/Nriv.00g097420/Nriv.00g142910/Nriv.00g170950	7
GO:0070201	GO:0070201	13/97	432/10899	0.000111523364417133	0.0747103216274627	0.0658678960381584	Nriv.00g003540/Nriv.00g031930/Nriv.00g043650/Nriv.00g044310/Nriv.00g046230/Nriv.00g061300/Nriv.00g076490/Nriv.00g080180/Nriv.00g081990/Nriv.00g097420/Nriv.00g140190/Nriv.00g142910/Nriv.00g170950	13
GO:0090087	GO:0090087	13/97	444/10899	0.000146593690011117	0.0747103216274627	0.0658678960381584	Nriv.00g003540/Nriv.00g031930/Nriv.00g043650/Nriv.00g044310/Nriv.00g046230/Nriv.00g061300/Nriv.00g076490/Nriv.00g080180/Nriv.00g081990/Nriv.00g097420/Nriv.00g140190/Nriv.00g142910/Nriv.00g170950	13
GO:0061003	GO:0061003	3/97	13/10899	0.000183209121085807	0.0747103216274627	0.0658678960381584	Nriv.00g081990/Nriv.00g108060/Nriv.00g159580	3
GO:0043487	GO:0043487	6/97	94/10899	0.000184274930018407	0.0747103216274627	0.0658678960381584	Nriv.00g017430/Nriv.00g046230/Nriv.00g078540/Nriv.00g082090/Nriv.00g087670/Nriv.00g176260	6
GO:0048312	GO:0048312	2/97	3/10899	0.000233829490811454	0.0768141290468162	0.0677227049235125	Nriv.00g039510/Nriv.00g108060	2
GO:0046883	GO:0046883	7/97	140/10899	0.000243596603742546	0.0768141290468162	0.0677227049235125	Nriv.00g031930/Nriv.00g043650/Nriv.00g046230/Nriv.00g061300/Nriv.00g097420/Nriv.00g142910/Nriv.00g170950	7
GO:0050708	GO:0050708	8/97	191/10899	0.000293241571523288	0.0784005654071253	0.069121376793419	Nriv.00g031930/Nriv.00g043650/Nriv.00g046230/Nriv.00g061300/Nriv.00g076490/Nriv.00g097420/Nriv.00g142910/Nriv.00g170950	8
GO:0030424	GO:0030424	11/97	355/10899	0.000303878160492734	0.0784005654071253	0.069121376793419	Nriv.00g076490/Nriv.00g081990/Nriv.00g087060/Nriv.00g098360/Nriv.00g102340/Nriv.00g111690/Nriv.00g124540/Nriv.00g154210/Nriv.00g159580/Nriv.00g162070/Nriv.00g176260	11
GO:0051222	GO:0051222	8/97	204/10899	0.000456228328022595	0.0942505371782482	0.0830954070222529	Nriv.00g031930/Nriv.00g044310/Nriv.00g046230/Nriv.00g076490/Nriv.00g080180/Nriv.00g081990/Nriv.00g140190/Nriv.00g142910	8
GO:0001558	GO:0001558	9/97	257/10899	0.000458902919241749	0.0942505371782482	0.0830954070222529	Nriv.00g012860/Nriv.00g044310/Nriv.00g081990/Nriv.00g084530/Nriv.00g087060/Nriv.00g111690/Nriv.00g124540/Nriv.00g142910/Nriv.00g159580	9
GO:0048143	GO:0048143	2/97	4/10899	0.000464942748588962	0.0942505371782482	0.0830954070222529	Nriv.00g076490/Nriv.00g142910	2
GO:0045861	GO:0045861	6/97	113/10899	0.000499385195535101	0.0944836789952412	0.0833009550727675	Nriv.00g043870/Nriv.00g076490/Nriv.00g118510/Nriv.00g142910/Nriv.00g147950/Nriv.00g176260	6
